"","RunCode","RunName","StationNumber","SAM_Code","Datetime","QST_NAME","SamplingDate"
"369","ES0915B0064","YB - Fall Study","B9D81651399","ES0915B0546",2015-09-21 10:44:00,"BL5 -Below Toe Drain",2015-09-21
"370","ES0915B0064","YB - Fall Study","B9D81450411","ES0915B0547",2015-09-21 10:55:00,"Liberty at S End",2015-09-21
"371","ES0915B0064","YB - Fall Study","B9D81281402","ES0915B0548",2015-09-21 11:05:00,"RYI - Cache Slough",2015-09-21
"372","ES0915B0064","YB - Fall Study","B9D81040386","ES0915B0549",2015-09-21 11:20:00,"SRV - Vieira's",2015-09-21
"373","ES0915B0064","YB - Fall Study","B9D80960412","ES0915B0550",2015-09-21 11:35:00,"RVB - Rio Vista",2015-09-21
"374","ES0915B0064","YB - Fall Study","B9D80960412","ES0915B0551",2015-09-21 11:35:00,"RVB - Rio Vista",2015-09-21
"375","ES0916B0073","YB - Fall Study","A1030000","ES0916B0720",2016-09-08 08:40:00,"Woodland Wasetwater",2016-09-08
"376","ES0916B0073","YB - Fall Study","A0D84061386","ES0916B0721",2016-09-08 09:00:00,"Toe Drain at Rd. 22",2016-09-08
"377","ES0916B0073","YB - Fall Study","A0033300","ES0916B0722",2016-09-08 10:20:00,"Davis Wastewater",2016-09-08
"378","ES0916B0073","YB - Fall Study","A0D83441350","ES0916B0723",2016-09-08 10:50:00,"Toe Drain@ I-80",2016-09-08
"379","ES0916B0073","YB - Fall Study","B9D82851352","ES0916B0724",2016-09-08 11:30:00,"Toe Drain YB LISBON",2016-09-08
"380","ES0916B0073","YB - Fall Study","A0D82120386","ES0916B0725",2016-09-08 09:40:00,"Toe Drain at STTD",2016-09-08
"381","ES0916B0073","YB - Fall Study","B9D81651399","ES0916B0726",2016-09-08 10:50:00,"BL5 -Below Toe Drain",2016-09-08
"382","ES0916B0073","YB - Fall Study","B9D81450411","ES0916B0727",2016-09-08 11:10:00,"Liberty at S End",2016-09-08
"383","ES0916B0073","YB - Fall Study","B9D81281402","ES0916B0728",2016-09-08 11:25:00,"RYI - Cache Slough",2016-09-08
"384","ES0916B0073","YB - Fall Study","B9D81040386","ES0916B0729",2016-09-08 11:45:00,"SRV - Vieira's",2016-09-08
"385","ES0916B0073","YB - Fall Study","B9D80960412","ES0916B0730",2016-09-08 12:00:00,"RVB - Rio Vista",2016-09-08
"386","ES0916B0073","YB - Fall Study","B9D81651399","ES0916B0731",2016-09-08 10:50:00,"BL5 -Below Toe Drain",2016-09-08
"387","ES0916B0074","YB - Fall Study","A1030000","ES0916B0735",2016-09-13 10:52:00,"Woodland Wasetwater",2016-09-13
"388","ES0916B0074","YB - Fall Study","A0033300","ES0916B0737",2016-09-13 11:55:00,"Davis Wastewater",2016-09-13
"389","ES0919B0028"," North Delta Flow Action","Blank; Equipment","ES0919B0360",2019-09-03 14:30:00,"Blank; Equipment",2019-09-03
"390","ES0919B0028a"," North Delta Flow Action","Blank; Equipment","ES0919B0361",2019-09-04 15:00:00,"Blank; Equipment",2019-09-04
"391","ES0919B0028a"," North Delta Flow Action","Blank; Equipment","ES0919B0362",2019-09-05 12:30:00,"Blank; Equipment",2019-09-05
"392","ES0919B0029"," North Delta Flow Action","Blank; Equipment","ES0919B0383",2019-09-16 12:00:00,"Blank; Equipment",2019-09-16
"393","ES0919B0029a"," North Delta Flow Action","Blank; Equipment","ES0919B0384",2019-09-17 12:30:00,"Blank; Equipment",2019-09-17
"394","ES0919B0029aa"," North Delta Flow Action","Blank; Equipment","ES0919B0385",2019-09-18 13:30:00,"Blank; Equipment",2019-09-18
"395","ES1013B0041","YB - Fall Study","A0D84761435","ES1013B0147",2013-10-04 13:07:00,"Ridge Cut Slough",2013-10-04
"396","ES1013B0041","YB - Fall Study","A0D84761435","ES1013B0148",2013-10-04 13:07:00,"Ridge Cut Slough",2013-10-04
"397","ES1013B0041","YB - Fall Study","A0D84061386","ES1013B0149",2013-10-04 14:25:00,"Toe Drain at Rd. 22",2013-10-04
"398","ES1013B0041","YB - Fall Study","A0D84061386","ES1013B0150",2013-10-04 14:25:00,"Toe Drain at Rd. 22",2013-10-04
"399","ES1013B0041","YB - Fall Study","A0D83441350","ES1013B0151",2013-10-04 15:50:00,"Toe Drain@ I-80",2013-10-04
"400","ES1013B0041","YB - Fall Study","A0D83441350","ES1013B0152",2013-10-04 15:50:00,"Toe Drain@ I-80",2013-10-04
"401","ES1013B0041","YB - Fall Study","B9D82851352","ES1013B0169",2013-10-04 13:27:00,"Toe Drain YB LISBON",2013-10-04
"402","ES1013B0041","YB - Fall Study","B9D82851352","ES1013B0176",2013-10-04 13:27:00,"Toe Drain YB LISBON",2013-10-04
"403","ES1013B0043","YB - Fall Study","A0D84761435","ES1013B0180",2013-10-08 09:47:00,"Ridge Cut Slough",2013-10-08
