"","SampleID","OrganismCode","ForkLength","TotalLength","Weight","Sex","Spawning.Condition","MarkCode","Race","StageCode","Dead","CWTSample","Genetic.Sample","Direct.Take","Indirect.Take","FishTagID","Count","Plus.Count","FishIDComments","SalmGenRowID","GeneticID1","Prob1","GeneticID2","Prob2","SalmComments","SmeltGenRowID","GeneticID","numChrom","V.shape","SmeltComments","qDS","qLFS","qWAG","GenotypeRun"
"42",6814,"CHN",53,NA,1.77,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_046",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",6814,"CHN",55,NA,1.87,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_047",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",6814,"CHN",59,NA,2.46,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_048",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",6814,"CHN",57,NA,2.04,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_049",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",6814,"CHN",55,NA,1.89,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_050",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",6814,"CHN",53,NA,1.84,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_051",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",6814,"CHN",53,NA,1.7,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_052",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",6814,"CHN",58,NA,2.22,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_053",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",6814,"CHN",52,NA,1.6,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_054",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",6814,"CHN",51,NA,1.46,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_055",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",6814,"CHN",57,NA,2.39,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_056",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",6814,"CHN",55,NA,1.82,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_057",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",6811,"CHN",58,NA,1.99,"","","A","F","n/p","No",TRUE,TRUE,FALSE,TRUE,"2016Ad_minus-F_058",1,FALSE,"f-058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",6902,"CHN",85,NA,8.02,"","","A","S","n/p","No",TRUE,TRUE,TRUE,FALSE,"2016Ad_minus-S_003",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",6875,"CHN",108,NA,14.35,"","","A","W","n/p","No",TRUE,TRUE,TRUE,FALSE,"2016Ad_minus-W_003",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",6909,"CHN",114,NA,17.97,"","","A","W","n/p","No",TRUE,TRUE,FALSE,FALSE,"2016Ad_minus-W_004",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",7249,"CHN",34,NA,0.33,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2016Ad_plus-F_240",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",7531,"CHN",80,NA,5.43,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_001",1,FALSE,"smolt?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",7572,"CHN",71,NA,3.93,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_003",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",7572,"CHN",75,NA,5.1,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_004",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",7572,"CHN",68,NA,3.73,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_005",1,FALSE,"gill has anchorworm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",7572,"CHN",61,NA,4.13,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_006",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",7572,"CHN",74,NA,4.45,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_007",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",7572,"CHN",73,NA,4.53,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_008",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",7572,"CHN",80,NA,5.85,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_009",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",7576,"CHN",88,NA,8.63,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_010",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",7543,"CHN",82,NA,7.05,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_011",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",7543,"CHN",77,NA,5.62,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_012",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",7543,"CHN",86,NA,6.68,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_013",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",7543,"CHN",85,NA,7.14,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_015",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",7543,"CHN",87,NA,7.77,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_016",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",7543,"CHN",91,NA,8.95,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_017",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",7543,"CHN",81,NA,6,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_018",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",7543,"CHN",83,NA,6.94,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_019",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",7543,"CHN",90,NA,7.99,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_020",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",7543,"CHN",91,NA,9.51,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_021",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",7543,"CHN",88,NA,7.7,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_022",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",7543,"CHN",83,NA,6.67,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_023",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",7608,"CHN",91,NA,8.67,"","","A","F","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_024",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",7567,"CHN",82,NA,6,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_025",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",7566,"CHN",91,NA,8.6,"","","A","F","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-F_026",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",7611,"CHN",85,NA,6.83,"","","A","F","CHN_S","No",TRUE,TRUE,TRUE,FALSE,"2017Ad_minus-F_027",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",7528,"CHN",90,NA,8.66,"","","A","S","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-S_001",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
